"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Влад\Desktop\india\air-datepicker\cleave.min.js", "JavaScript", 0, 1, 0, 7, 0, 8
"c:\Users\Влад\Desktop\india\air-datepicker\datepicker.min.css", "CSS", 0, 0, 1, 0, 0, 1
"c:\Users\Влад\Desktop\india\air-datepicker\datepicker.min.js", "JavaScript", 0, 2, 0, 0, 0, 2
"c:\Users\Влад\Desktop\india\index.html", "HTML", 412, 0, 0, 5, 48, 465
"c:\Users\Влад\Desktop\india\jQuery Form Styler\jquery.formstyler.css", "CSS", 0, 0, 112, 0, 0, 112
"c:\Users\Влад\Desktop\india\jQuery Form Styler\jquery.formstyler.min.js", "JavaScript", 0, 1, 0, 1, 0, 2
"c:\Users\Влад\Desktop\india\jQuery Form Styler\jquery.formstyler.theme.css", "CSS", 0, 0, 55, 19, 2, 76
"c:\Users\Влад\Desktop\india\script.js", "JavaScript", 0, 104, 0, 2, 18, 124
"c:\Users\Влад\Desktop\india\style.css", "CSS", 0, 0, 1161, 29, 169, 1359
"Total", "-", 412, 108, 1329, 63, 237, 2149
